 lat lon alt B
0 -85.0 -140.0 200.0 -74.0816
1 -85.0 -130.0 200.0 -73.5185
2 -85.0 -120.0 200.0 -72.9393
3 -85.0 -110.0 200.0 -72.3617
4 -85.0 -100.0 200.0 -71.8021
5 -85.0 -90.0 200.0 -71.2752
6 -85.0 -80.0 200.0 -70.7942
7 -85.0 -70.0 200.0 -70.3698
8 -85.0 -60.0 200.0 -70.0109
9 -85.0 -50.0 200.0 -69.7241
10 -85.0 -40.0 200.0 -69.5141
11 -85.0 -30.0 200.0 -69.3845
12 -85.0 -20.0 200.0 -69.338
13 -85.0 -10.0 200.0 -69.3763
14 -85.0 0.0 200.0 -69.5004
15 -85.0 10.0 200.0 -69.7103
16 -85.0 20.0 200.0 -70.0044
17 -85.0 30.0 200.0 -70.3787
18 -85.0 40.0 200.0 -70.827
19 -85.0 50.0 200.0 -71.3394
20 -85.0 60.0 200.0 -71.9034
21 -85.0 70.0 200.0 -72.5029
22 -85.0 80.0 200.0 -73.1192
23 -85.0 90.0 200.0 -73.7313
24 -85.0 100.0 200.0 -74.3167
25 -85.0 110.0 200.0 -74.8527
26 -85.0 120.0 200.0 -75.317
27 -85.0 130.0 200.0 -75.6898
28 -85.0 140.0 200.0 -75.9549
29 -85.0 150.0 200.0 -76.1013
30 -85.0 160.0 200.0 -76.1242
31 -85.0 170.0 200.0 -76.0248
32 -85.0 180.0 200.0 -75.8104
33 -80.0 -180.0 200.0 -78.5827
34 -80.0 -170.0 200.0 -77.8059
35 -80.0 -160.0 200.0 -76.8856
36 -80.0 -150.0 200.0 -75.8631
37 -80.0 -140.0 200.0 -74.7734
38 -80.0 -130.0 200.0 -73.6481
39 -80.0 -120.0 200.0 -72.5176
40 -80.0 -110.0 200.0 -71.4127
41 -80.0 -100.0 200.0 -70.3641
42 -80.0 -90.0 200.0 -69.401
43 -80.0 -80.0 200.0 -68.5478
44 -80.0 -70.0 200.0 -67.8223
45 -80.0 -60.0 200.0 -67.2336
46 -80.0 -50.0 200.0 -66.7828
47 -80.0 -40.0 200.0 -66.4657
48 -80.0 -30.0 200.0 -66.2765
49 -80.0 -20.0 200.0 -66.2122
50 -80.0 -10.0 200.0 -66.2747
51 -80.0 0.0 200.0 -66.4712
52 -80.0 10.0 200.0 -66.8124
53 -80.0 20.0 200.0 -67.3085
54 -80.0 30.0 200.0 -67.9657
55 -80.0 40.0 200.0 -68.7827
56 -80.0 50.0 200.0 -69.7489
57 -80.0 60.0 200.0 -70.844
58 -80.0 70.0 200.0 -72.0387
59 -80.0 80.0 200.0 -73.296
60 -80.0 90.0 200.0 -74.5718
61 -80.0 100.0 200.0 -75.8163
62 -80.0 110.0 200.0 -76.9738
63 -80.0 120.0 200.0 -77.9845
64 -80.0 130.0 200.0 -78.7878
65 -80.0 140.0 200.0 -79.3297
66 -80.0 150.0 200.0 -79.5742
67 -80.0 160.0 200.0 -79.5133
68 -80.0 170.0 200.0 -79.1686
69 -80.0 180.0 200.0 -78.5827
70 -75.0 -180.0 200.0 -80.5012
71 -75.0 -170.0 200.0 -79.1557
72 -75.0 -160.0 200.0 -77.7036
73 -75.0 -150.0 200.0 -76.1814
74 -75.0 -140.0 200.0 -74.6107
75 -75.0 -130.0 200.0 -73.0115
76 -75.0 -120.0 200.0 -71.411
77 -75.0 -110.0 200.0 -69.8482
78 -75.0 -100.0 200.0 -68.3734
79 -75.0 -90.0 200.0 -67.0419
80 -75.0 -80.0 200.0 -65.9043
81 -75.0 -70.0 200.0 -64.9939
82 -75.0 -60.0 200.0 -64.3191
83 -75.0 -50.0 200.0 -63.8618
84 -75.0 -40.0 200.0 -63.5862
85 -75.0 -30.0 200.0 -63.4534
86 -75.0 -20.0 200.0 -63.4375
87 -75.0 -10.0 200.0 -63.5352
88 -75.0 0.0 200.0 -63.7676
89 -75.0 10.0 200.0 -64.1719
90 -75.0 20.0 200.0 -64.7893
91 -75.0 30.0 200.0 -65.6515
92 -75.0 40.0 200.0 -66.7716
93 -75.0 50.0 200.0 -68.1404
94 -75.0 60.0 200.0 -69.7281
95 -75.0 70.0 200.0 -71.4903
96 -75.0 80.0 200.0 -73.3718
97 -75.0 90.0 200.0 -75.3106
98 -75.0 100.0 200.0 -77.2364
99 -75.0 110.0 200.0 -79.066
100 -75.0 120.0 200.0 -80.6949
101 -75.0 130.0 200.0 -81.9874
102 -75.0 140.0 200.0 -82.7846
103 -75.0 150.0 200.0 -82.9671
104 -75.0 160.0 200.0 -82.5487
105 -75.0 170.0 200.0 -81.6717
106 -75.0 180.0 200.0 -80.5012
107 -70.0 -180.0 200.0 -80.9618
108 -70.0 -170.0 200.0 -79.1468
109 -70.0 -160.0 200.0 -77.3293
110 -70.0 -150.0 200.0 -75.4947
111 -70.0 -140.0 200.0 -73.6233
112 -70.0 -130.0 200.0 -71.7046
113 -70.0 -120.0 200.0 -69.7502
114 -70.0 -110.0 200.0 -67.8047
115 -70.0 -100.0 200.0 -65.9479
116 -70.0 -90.0 200.0 -64.2836
117 -70.0 -80.0 200.0 -62.9162
118 -70.0 -70.0 200.0 -61.9187
119 -70.0 -60.0 200.0 -61.3064
120 -70.0 -50.0 200.0 -61.0276
121 -70.0 -40.0 200.0 -60.9822
122 -70.0 -30.0 200.0 -61.0609
123 -70.0 -20.0 200.0 -61.1872
124 -70.0 -10.0 200.0 -61.344
125 -70.0 0.0 200.0 -61.5757
126 -70.0 10.0 200.0 -61.9687
127 -70.0 20.0 200.0 -62.6205
128 -70.0 30.0 200.0 -63.6084
129 -70.0 40.0 200.0 -64.9679
130 -70.0 50.0 200.0 -66.6875
131 -70.0 60.0 200.0 -68.7188
132 -70.0 70.0 200.0 -70.993
133 -70.0 80.0 200.0 -73.4355
134 -70.0 90.0 200.0 -75.9722
135 -70.0 100.0 200.0 -78.5287
136 -70.0 110.0 200.0 -81.0221
137 -70.0 120.0 200.0 -83.3367
138 -70.0 130.0 200.0 -85.2482
139 -70.0 140.0 200.0 -86.2559
140 -70.0 150.0 200.0 -85.8538
141 -70.0 160.0 200.0 -84.4802
142 -70.0 170.0 200.0 -82.7643
143 -70.0 180.0 200.0 -80.9618
144 -65.0 -180.0 200.0 -79.8281
145 -65.0 -170.0 200.0 -77.8261
146 -65.0 -160.0 200.0 -75.8815
147 -65.0 -150.0 200.0 -73.9448
148 -65.0 -140.0 200.0 -71.9615
149 -65.0 -130.0 200.0 -69.8861
150 -65.0 -120.0 200.0 -67.7033
151 -65.0 -110.0 200.0 -65.4547
152 -65.0 -100.0 200.0 -63.2524
153 -65.0 -90.0 200.0 -61.2699
154 -65.0 -80.0 200.0 -59.7009
155 -65.0 -70.0 200.0 -58.695
156 -65.0 -60.0 200.0 -58.2927
157 -65.0 -50.0 200.0 -58.3956
158 -65.0 -40.0 200.0 -58.7991
159 -65.0 -30.0 200.0 -59.275
160 -65.0 -20.0 200.0 -59.6609
161 -65.0 -10.0 200.0 -59.9121
162 -65.0 0.0 200.0 -60.1034
163 -65.0 10.0 200.0 -60.3937
164 -65.0 20.0 200.0 -60.9696
165 -65.0 30.0 200.0 -61.9816
166 -65.0 40.0 200.0 -63.4993
167 -65.0 50.0 200.0 -65.5025
168 -65.0 60.0 200.0 -67.9076
169 -65.0 70.0 200.0 -70.6069
170 -65.0 80.0 200.0 -73.498
171 -65.0 90.0 200.0 -76.495
172 -65.0 100.0 200.0 -79.5257
173 -65.0 110.0 200.0 -82.5276
174 -65.0 120.0 200.0 -85.4459
175 -65.0 130.0 200.0 -88.2193
176 -65.0 140.0 200.0 -88.9468
177 -65.0 150.0 200.0 -86.5034
178 -65.0 160.0 200.0 -84.1477
179 -65.0 170.0 200.0 -81.9266
180 -65.0 180.0 200.0 -79.8281
181 -60.0 -180.0 200.0 -77.6128
182 -60.0 -170.0 200.0 -75.6061
183 -60.0 -160.0 200.0 -73.6691
184 -60.0 -150.0 200.0 -71.7503
185 -60.0 -140.0 200.0 -69.7787
186 -60.0 -130.0 200.0 -67.675
187 -60.0 -120.0 200.0 -65.3833
188 -60.0 -110.0 200.0 -62.9211
189 -60.0 -100.0 200.0 -60.4217
190 -60.0 -90.0 200.0 -58.1376
191 -60.0 -80.0 200.0 -56.3852
192 -60.0 -70.0 200.0 -55.4358
193 -60.0 -60.0 200.0 -55.3839
194 -60.0 -50.0 200.0 -56.0744
195 -60.0 -40.0 200.0 -57.1543
196 -60.0 -30.0 200.0 -58.2279
197 -60.0 -20.0 200.0 -59.0131
198 -60.0 -10.0 200.0 -59.4181
199 -60.0 0.0 200.0 -59.541
200 -60.0 10.0 200.0 -59.6262
201 -60.0 20.0 200.0 -59.9844
202 -60.0 30.0 200.0 -60.8816
203 -60.0 40.0 200.0 -62.4436
204 -60.0 50.0 200.0 -64.6366
205 -60.0 60.0 200.0 -67.3204
206 -60.0 70.0 200.0 -70.3264
207 -60.0 80.0 200.0 -73.5092
208 -60.0 90.0 200.0 -76.7558
209 -60.0 100.0 200.0 -79.9665
210 -60.0 110.0 200.0 -83.0236
211 -60.0 120.0 200.0 -85.7004
212 -60.0 130.0 200.0 -87.1932
213 -60.0 140.0 200.0 -86.2596
214 -60.0 150.0 200.0 -84.1715
215 -60.0 160.0 200.0 -81.9202
216 -60.0 170.0 200.0 -79.7177
217 -60.0 180.0 200.0 -77.6128
218 -55.0 -180.0 200.0 -74.8261
219 -55.0 -170.0 200.0 -72.8558
220 -55.0 -160.0 200.0 -70.9513
221 -55.0 -150.0 200.0 -69.0758
222 -55.0 -140.0 200.0 -67.1605
223 -55.0 -130.0 200.0 -65.1043
224 -55.0 -120.0 200.0 -62.8035
225 -55.0 -110.0 200.0 -60.2276
226 -55.0 -100.0 200.0 -57.5041
227 -55.0 -90.0 200.0 -54.9547
228 -55.0 -80.0 200.0 -53.0417
229 -55.0 -70.0 200.0 -52.204
230 -55.0 -60.0 200.0 -52.6251
